"season_type","season","week","game_date","matchup","home_team","away_team","away_score","home_score","total","total_line","spread","spread_line","div_game","roof","surface"
"REG",2015,1,"2015-09-13","DENBAL","DEN","BAL",13,19,32,46.5,6,4.5,0,"outdoors","grass"
"REG",2015,1,"2015-09-13","JAXCAR","JAX","CAR",20,9,29,41,-11,-3,0,"outdoors","grass"
"REG",2015,1,"2015-09-13","LVCIN","LV","CIN",33,13,46,43,-20,-3,0,"outdoors","grass"
"REG",2015,1,"2015-09-13","NYJCLE","NYJ","CLE",10,31,41,39,21,3.5,0,"outdoors","fieldturf"
"REG",2015,1,"2015-09-13","LACDET","LAC","DET",28,33,61,45.5,5,3.5,0,"outdoors","grass"
"REG",2015,1,"2015-09-13","CHIGB","CHI","GB",31,23,54,48.5,-8,-5.5,1,"outdoors","grass"
"REG",2015,1,"2015-09-13","BUFIND","BUF","IND",14,27,41,44.5,13,-1,0,"outdoors","a_turf"
"REG",2015,1,"2015-09-13","HOUKC","HOU","KC",27,20,47,41,-7,-1,0,"closed","grass"
"REG",2015,1,"2015-09-13","WASMIA","WAS","MIA",17,10,27,45.5,-7,-4,0,"outdoors","grass"
"REG",2015,1,"2015-09-14","SFMIN","SF","MIN",3,20,23,42.5,17,-2.5,0,"outdoors","grass"
"REG",2015,1,"2015-09-13","ARINO","ARI","NO",19,31,50,48.5,12,2,0,"closed","grass"
"REG",2015,1,"2015-09-13","DALNYG","DAL","NYG",26,27,53,52,1,7,1,"closed","matrixturf"
"REG",2015,1,"2015-09-14","ATLPHI","ATL","PHI",24,26,50,55,2,-3.5,0,"dome","fieldturf"
"REG",2015,1,"2015-09-10","NEPIT","NE","PIT",21,28,49,51,7,7.5,0,"outdoors","fieldturf"
"REG",2015,1,"2015-09-13","LASEA","LA","SEA",31,34,65,41.5,3,-3.5,1,"dome","astroplay"
"REG",2015,1,"2015-09-13","TBTEN","TB","TEN",42,14,56,40.5,-28,3,0,"outdoors","grass"
"REG",2015,2,"2015-09-20","CHIARI","CHI","ARI",48,23,71,45.5,-25,-2,0,"outdoors","grass"
"REG",2015,2,"2015-09-20","NYGATL","NYG","ATL",24,20,44,49.5,-4,2,0,"outdoors","fieldturf"
"REG",2015,2,"2015-09-20","LVBAL","LV","BAL",33,37,70,42,4,-6,0,"outdoors","grass"
"REG",2015,2,"2015-09-20","PHIDAL","PHI","DAL",20,10,30,53,-10,7,1,"outdoors","grass"
"REG",2015,2,"2015-09-17","KCDEN","KC","DEN",31,24,55,42,-7,3,1,"outdoors","grass"
"REG",2015,2,"2015-09-20","MINDET","MIN","DET",16,26,42,44,10,2.5,1,"outdoors","fieldturf"
"REG",2015,2,"2015-09-20","CARHOU","CAR","HOU",17,24,41,41,7,3,0,"outdoors","grass"
"REG",2015,2,"2015-09-20","JAXMIA","JAX","MIA",20,23,43,42.5,3,-5,0,"outdoors","grass"
"REG",2015,2,"2015-09-20","BUFNE","BUF","NE",40,32,72,45,-8,2,1,"outdoors","a_turf"
"REG",2015,2,"2015-09-21","INDNYJ","IND","NYJ",20,7,27,45.5,-13,6,0,"closed","fieldturf"
"REG",2015,2,"2015-09-20","CINLAC","CIN","LAC",19,24,43,47.5,5,3.5,0,"outdoors","fieldturf"
"REG",2015,2,"2015-09-20","GBSEA","GB","SEA",17,27,44,49,10,3.5,0,"outdoors","grass"
"REG",2015,2,"2015-09-20","PITSF","PIT","SF",18,43,61,46,25,6,0,"outdoors","grass"
"REG",2015,2,"2015-09-20","WASLA","WAS","LA",10,24,34,41,14,-3,0,"outdoors","grass"
"REG",2015,2,"2015-09-20","NOTB","NO","TB",26,19,45,47,-7,9.5,1,"dome","sportturf"
"REG",2015,2,"2015-09-20","CLETEN","CLE","TEN",14,28,42,41,14,1,0,"outdoors","grass"
"REG",2015,3,"2015-09-27","DALATL","DAL","ATL",39,28,67,43.5,-11,1,0,"closed","matrixturf"
"REG",2015,3,"2015-09-27","MIABUF","MIA","BUF",41,14,55,43.5,-27,1,1,"outdoors","grass"
"REG",2015,3,"2015-09-27","SEACHI","SEA","CHI",0,26,26,43.5,26,16.5,0,"outdoors","fieldturf"
"REG",2015,3,"2015-09-27","BALCIN","BAL","CIN",28,24,52,45.5,-4,2.5,1,"outdoors","sportturf"
"REG",2015,3,"2015-09-27","DETDEN","DET","DEN",24,12,36,45,-12,-3,0,"dome","fieldturf"
"REG",2015,3,"2015-09-27","TENIND","TEN","IND",35,33,68,46.5,-2,-3,1,"outdoors","grass"
"REG",2015,3,"2015-09-27","NEJAX","NE","JAX",17,51,68,48.5,34,14.5,0,"outdoors","fieldturf"
"REG",2015,3,"2015-09-28","GBKC","GB","KC",28,38,66,47,10,4.5,0,"outdoors","grass"
"REG",2015,3,"2015-09-27","CARNO","CAR","NO",22,27,49,43,5,10,1,"outdoors","grass"
"REG",2015,3,"2015-09-27","CLELV","CLE","LV",27,20,47,43.5,-7,3.5,0,"outdoors","grass"
"REG",2015,3,"2015-09-27","NYJPHI","NYJ","PHI",24,17,41,47,-7,3,0,"outdoors","fieldturf"
"REG",2015,3,"2015-09-27","LAPIT","LA","PIT",12,6,18,48.5,-6,1.5,0,"dome","astroplay"
"REG",2015,3,"2015-09-27","MINLAC","MIN","LAC",14,31,45,45.5,17,2.5,0,"outdoors","fieldturf"
"REG",2015,3,"2015-09-27","ARISF","ARI","SF",7,47,54,45,40,7,1,"closed","grass"
"REG",2015,3,"2015-09-27","HOUTB","HOU","TB",9,19,28,41,10,6,0,"closed","fieldturf"
"REG",2015,3,"2015-09-24","NYGWAS","NYG","WAS",21,32,53,45,11,3,1,"outdoors","fieldturf"
"REG",2015,4,"2015-10-01","PITBAL","PIT","BAL",23,20,43,44,-3,-3,1,"outdoors","grass"
"REG",2015,4,"2015-10-04","TBCAR","TB","CAR",37,23,60,40,-14,-3,1,"outdoors","grass"
"REG",2015,4,"2015-10-04","LACCLE","LAC","CLE",27,30,57,44.5,3,4.5,0,"outdoors","grass"
"REG",2015,4,"2015-10-04","NODAL","NO","DAL",20,26,46,48,6,3,0,"dome","sportturf"
"REG",2015,4,"2015-10-05","SEADET","SEA","DET",10,13,23,43,3,10,0,"outdoors","fieldturf"
"REG",2015,4,"2015-10-04","SFGB","SF","GB",17,3,20,48,-14,-7.5,0,"outdoors","grass"
"REG",2015,4,"2015-10-04","ATLHOU","ATL","HOU",21,48,69,47.5,27,4,0,"dome","fieldturf"
"REG",2015,4,"2015-10-04","INDJAX","IND","JAX",13,16,29,43,3,4,1,"open","fieldturf"
"REG",2015,4,"2015-10-04","CINKC","CIN","KC",21,36,57,45,15,3.5,0,"outdoors","fieldturf"
"REG",2015,4,"2015-10-04","DENMIN","DEN","MIN",20,23,43,43.5,3,7,0,"outdoors","grass"
"REG",2015,4,"2015-10-04","BUFNYG","BUF","NYG",24,10,34,46.5,-14,6,0,"outdoors","a_turf"
"REG",2015,4,"2015-10-04","MIANYJ","MIA","NYJ",27,14,41,42,-13,-2.5,1,"outdoors","grass"
"REG",2015,4,"2015-10-04","CHILV","CHI","LV",20,22,42,44.5,2,-3,0,"outdoors","grass"
"REG",2015,4,"2015-10-04","WASPHI","WAS","PHI",20,23,43,46,3,-3,1,"outdoors","grass"
"REG",2015,4,"2015-10-04","ARILA","ARI","LA",24,22,46,43.5,-2,7,1,"closed","grass"
"REG",2015,5,"2015-10-11","DETARI","DET","ARI",42,17,59,46,-25,-4.5,0,"dome","fieldturf"
"REG",2015,5,"2015-10-11","TENBUF","TEN","BUF",14,13,27,43,-1,1,0,"outdoors","grass"
"REG",2015,5,"2015-10-11","KCCHI","KC","CHI",18,17,35,44,-1,10,0,"outdoors","grass"
"REG",2015,5,"2015-10-11","BALCLE","BAL","CLE",33,30,63,43,-3,6,1,"outdoors","sportturf"
"REG",2015,5,"2015-10-11","LVDEN","LV","DEN",16,10,26,44.5,-6,-5,1,"outdoors","grass"
"REG",2015,5,"2015-10-08","HOUIND","HOU","IND",27,20,47,40.5,-7,4.5,1,"closed","fieldturf"
"REG",2015,5,"2015-10-11","TBJAX","TB","JAX",31,38,69,41,7,1,0,"outdoors","grass"
"REG",2015,5,"2015-10-11","DALNE","DAL","NE",30,6,36,51,-24,-8,0,"closed","matrixturf"
"REG",2015,5,"2015-10-11","PHINO","PHI","NO",17,39,56,49.5,22,6.5,0,"outdoors","grass"
"REG",2015,5,"2015-10-12","LACPIT","LAC","PIT",24,20,44,45.5,-4,4,0,"outdoors","grass"
"REG",2015,5,"2015-10-11","CINSEA","CIN","SEA",24,27,51,44.5,3,3,0,"outdoors","fieldturf"
"REG",2015,5,"2015-10-11","NYGSF","NYG","SF",27,30,57,43.5,3,7.5,0,"outdoors","fieldturf"
"REG",2015,5,"2015-10-11","GBLA","GB","LA",10,24,34,45,14,8.5,0,"outdoors","grass"
"REG",2015,5,"2015-10-11","ATLWAS","ATL","WAS",19,25,44,48.5,6,7.5,0,"dome","fieldturf"
"REG",2015,6,"2015-10-18","PITARI","PIT","ARI",13,25,38,45,12,-5.5,0,"outdoors","grass"
"REG",2015,6,"2015-10-15","NOATL","NO","ATL",21,31,52,52,10,-3,1,"dome","sportturf"
"REG",2015,6,"2015-10-18","SFBAL","SF","BAL",20,25,45,43.5,5,-2.5,0,"outdoors","grass"
"REG",2015,6,"2015-10-18","SEACAR","SEA","CAR",27,23,50,41,-4,7,0,"outdoors","fieldturf"
"REG",2015,6,"2015-10-18","DETCHI","DET","CHI",34,37,71,45,3,3.5,1,"dome","fieldturf"
"REG",2015,6,"2015-10-18","BUFCIN","BUF","CIN",34,21,55,42.5,-13,-3,0,"outdoors","a_turf"
"REG",2015,6,"2015-10-18","CLEDEN","CLE","DEN",26,23,49,41.5,-3,-3.5,0,"outdoors","grass"
"REG",2015,6,"2015-10-18","JAXHOU","JAX","HOU",31,20,51,43.5,-11,2.5,1,"outdoors","grass"
"REG",2015,6,"2015-10-18","MINKC","MIN","KC",10,16,26,43,6,3.5,0,"outdoors","fieldturf"
"REG",2015,6,"2015-10-18","TENMIA","TEN","MIA",38,10,48,44,-28,2.5,0,"outdoors","grass"
"REG",2015,6,"2015-10-18","INDNE","IND","NE",34,27,61,53.5,-7,-8,0,"closed","fieldturf"
"REG",2015,6,"2015-10-19","PHINYG","PHI","NYG",7,27,34,50.5,20,3.5,1,"outdoors","grass"
"REG",2015,6,"2015-10-18","GBLAC","GB","LAC",20,27,47,50,7,10.5,0,"outdoors","grass"
"REG",2015,6,"2015-10-18","NYJWAS","NYJ","WAS",20,34,54,39.5,14,7.5,0,"outdoors","fieldturf"
"REG",2015,7,"2015-10-25","TENATL","TEN","ATL",10,7,17,45.5,-3,-5.5,0,"outdoors","grass"
"REG",2015,7,"2015-10-26","ARIBAL","ARI","BAL",18,26,44,49.5,8,10,0,"closed","grass"
"REG",2015,7,"2015-10-25","JAXBUF","JAX","BUF",31,34,65,41,3,-3.5,0,"outdoors","grass"
"REG",2015,7,"2015-10-25","LACLE","LA","CLE",6,24,30,43.5,18,6.5,0,"dome","astroplay"
"REG",2015,7,"2015-10-25","NYGDAL","NYG","DAL",20,27,47,44.5,7,3,1,"outdoors","fieldturf"
"REG",2015,7,"2015-10-25","MIAHOU","MIA","HOU",26,44,70,46.5,18,4.5,0,"outdoors","grass"
"REG",2015,7,"2015-10-25","DETMIN","DET","MIN",28,19,47,44.5,-9,1,1,"dome","fieldturf"
"REG",2015,7,"2015-10-25","INDNO","IND","NO",27,21,48,52.5,-6,5.5,0,"open","fieldturf"
"REG",2015,7,"2015-10-25","NENYJ","NE","NYJ",23,30,53,47,7,7,1,"outdoors","fieldturf"
"REG",2015,7,"2015-10-25","LACLV","LAC","LV",37,29,66,48,-8,3.5,1,"outdoors","grass"
"REG",2015,7,"2015-10-25","CARPHI","CAR","PHI",16,27,43,46,11,3,0,"outdoors","grass"
"REG",2015,7,"2015-10-25","KCPIT","KC","PIT",13,23,36,41.5,10,4,0,"outdoors","grass"
"REG",2015,7,"2015-10-22","SFSEA","SF","SEA",20,3,23,41.5,-17,-6.5,1,"outdoors","grass"
"REG",2015,7,"2015-10-25","WASTB","WAS","TB",30,31,61,42,1,3,0,"outdoors","grass"
"REG",2015,8,"2015-11-01","CLEARI","CLE","ARI",34,20,54,46,-14,-7,0,"outdoors","grass"
"REG",2015,8,"2015-11-01","PITCIN","PIT","CIN",16,10,26,49,-6,1,1,"outdoors","grass"
"REG",2015,8,"2015-11-01","KCDET","KC","DET",10,45,55,45,35,3,0,"outdoors","grass"
"REG",2015,8,"2015-11-01","DENGB","DEN","GB",10,29,39,46,19,-2.5,0,"outdoors","grass"
"REG",2015,8,"2015-11-02","CARIND","CAR","IND",26,29,55,44.5,3,5,0,"outdoors","grass"
"REG",2015,8,"2015-10-29","NEMIA","NE","MIA",7,36,43,51,29,8,1,"outdoors","fieldturf"
"REG",2015,8,"2015-11-01","CHIMIN","CHI","MIN",23,20,43,43.5,-3,-1,1,"outdoors","grass"
"REG",2015,8,"2015-11-01","NONYG","NO","NYG",49,52,101,51.5,3,3,0,"dome","sportturf"
"REG",2015,8,"2015-11-01","LVNYJ","LV","NYJ",20,34,54,43.5,14,-3,0,"outdoors","grass"
"REG",2015,8,"2015-11-01","BALLAC","BAL","LAC",26,29,55,50,3,4.5,0,"outdoors","sportturf"
"REG",2015,8,"2015-11-01","DALSEA","DAL","SEA",13,12,25,41.5,-1,-4.5,0,"closed","matrixturf"
"REG",2015,8,"2015-11-01","LASF","LA","SF",6,27,33,41,21,8,1,"dome","astroplay"
"REG",2015,8,"2015-11-01","ATLTB","ATL","TB",23,20,43,47.5,-3,8,1,"dome","fieldturf"
"REG",2015,8,"2015-11-01","HOUTEN","HOU","TEN",6,20,26,43,14,3.5,1,"closed","fieldturf"
"REG",2015,9,"2015-11-08","SFATL","SF","ATL",16,17,33,43.5,1,-9.5,0,"outdoors","grass"
"REG",2015,9,"2015-11-09","LACCHI","LAC","CHI",22,19,41,49,-3,3.5,0,"outdoors","grass"
"REG",2015,9,"2015-11-05","CINCLE","CIN","CLE",10,31,41,45.5,21,13,1,"outdoors","fieldturf"
"REG",2015,9,"2015-11-08","INDDEN","IND","DEN",24,27,51,45,3,-3.5,0,"open","fieldturf"
"REG",2015,9,"2015-11-08","CARGB","CAR","GB",29,37,66,45.5,8,-2,0,"outdoors","grass"
"REG",2015,9,"2015-11-08","NYJJAX","NYJ","JAX",23,28,51,42,5,7.5,0,"outdoors","fieldturf"
"REG",2015,9,"2015-11-08","BUFMIA","BUF","MIA",17,33,50,44,16,4,1,"outdoors","a_turf"
"REG",2015,9,"2015-11-08","TBNYG","TB","NYG",32,18,50,49,-14,-1.5,0,"outdoors","grass"
"REG",2015,9,"2015-11-08","PITLV","PIT","LV",35,38,73,47.5,3,6,0,"outdoors","grass"
"REG",2015,9,"2015-11-08","DALPHI","DAL","PHI",33,27,60,43.5,-6,-3,1,"closed","matrixturf"
"REG",2015,9,"2015-11-08","MINLA","MIN","LA",18,21,39,40,3,2,0,"outdoors","fieldturf"
"REG",2015,9,"2015-11-08","NOTEN","NO","TEN",34,28,62,50,-6,7,0,"dome","sportturf"
"REG",2015,9,"2015-11-08","NEWAS","NE","WAS",10,27,37,51.5,17,13.5,0,"outdoors","fieldturf"
"REG",2015,10,"2015-11-15","SEAARI","SEA","ARI",39,32,71,43.5,-7,3,1,"outdoors","fieldturf"
"REG",2015,10,"2015-11-12","NYJBUF","NYJ","BUF",22,17,39,41.5,-5,2.5,1,"outdoors","fieldturf"
"REG",2015,10,"2015-11-15","TENCAR","TEN","CAR",27,10,37,42.5,-17,-3.5,0,"outdoors","grass"
"REG",2015,10,"2015-11-15","LACHI","LA","CHI",37,13,50,42,-24,7.5,0,"dome","astroplay"
"REG",2015,10,"2015-11-15","PITCLE","PIT","CLE",9,30,39,43.5,21,7,1,"outdoors","grass"
"REG",2015,10,"2015-11-15","TBDAL","TB","DAL",6,10,16,43.5,4,-1,0,"outdoors","grass"
"REG",2015,10,"2015-11-15","GBDET","GB","DET",18,16,34,50,-2,10.5,1,"outdoors","grass"
"REG",2015,10,"2015-11-16","CINHOU","CIN","HOU",10,6,16,46.5,-4,10,0,"outdoors","fieldturf"
"REG",2015,10,"2015-11-15","BALJAX","BAL","JAX",22,20,42,47,-2,4,0,"outdoors","sportturf"
"REG",2015,10,"2015-11-15","DENKC","DEN","KC",29,13,42,42,-16,4,1,"outdoors","grass"
"REG",2015,10,"2015-11-15","PHIMIA","PHI","MIA",20,19,39,49,-1,5.5,0,"outdoors","grass"
"REG",2015,10,"2015-11-15","LVMIN","LV","MIN",30,14,44,44,-16,3,0,"outdoors","grass"
"REG",2015,10,"2015-11-15","NYGNE","NYG","NE",27,26,53,52.5,-1,-7,0,"outdoors","fieldturf"
"REG",2015,10,"2015-11-15","WASNO","WAS","NO",14,47,61,52,33,-1,0,"outdoors","grass"
"REG",2015,11,"2015-11-23","NEBUF","NE","BUF",13,20,33,47.5,7,7,1,"outdoors","fieldturf"
"REG",2015,11,"2015-11-22","ARICIN","ARI","CIN",31,34,65,48,3,4,0,"closed","grass"
"REG",2015,11,"2015-11-22","MIADAL","MIA","DAL",24,14,38,45,-10,-2.5,0,"outdoors","grass"
"REG",2015,11,"2015-11-22","CHIDEN","CHI","DEN",17,15,32,41.5,-2,-2.5,0,"outdoors","grass"
"REG",2015,11,"2015-11-22","MINGB","MIN","GB",30,13,43,45,-17,-1,1,"outdoors","fieldturf"
"REG",2015,11,"2015-11-22","ATLIND","ATL","IND",24,21,45,47.5,-3,3.5,0,"dome","fieldturf"
"REG",2015,11,"2015-11-22","LACKC","LAC","KC",33,3,36,45.5,-30,-3,1,"outdoors","grass"
"REG",2015,11,"2015-11-22","HOUNYJ","HOU","NYJ",17,24,41,40,7,-4,0,"closed","fieldturf"
"REG",2015,11,"2015-11-22","DETLV","DET","LV",13,18,31,50,5,-2,0,"dome","fieldturf"
"REG",2015,11,"2015-11-22","SEASF","SEA","SF",13,29,42,40,16,14,1,"outdoors","fieldturf"
"REG",2015,11,"2015-11-22","BALLA","BAL","LA",13,16,29,41,3,3,0,"outdoors","sportturf"
"REG",2015,11,"2015-11-22","PHITB","PHI","TB",45,17,62,46,-28,7,0,"outdoors","grass"
"REG",2015,11,"2015-11-19","JAXTEN","JAX","TEN",13,19,32,41.5,6,3,1,"outdoors","grass"
"REG",2015,11,"2015-11-22","CARWAS","CAR","WAS",16,44,60,44,28,7,0,"outdoors","grass"
"REG",2015,12,"2015-11-29","SFARI","SF","ARI",19,13,32,45,-6,-7.5,1,"outdoors","grass"
"REG",2015,12,"2015-11-30","CLEBAL","CLE","BAL",33,27,60,41,-6,6,1,"outdoors","grass"
"REG",2015,12,"2015-11-29","KCBUF","KC","BUF",22,30,52,41,8,4.5,0,"outdoors","grass"
"REG",2015,12,"2015-11-26","DALCAR","DAL","CAR",33,14,47,44.5,-19,-1,0,"closed","matrixturf"
"REG",2015,12,"2015-11-26","GBCHI","GB","CHI",17,13,30,45,-4,7.5,1,"outdoors","grass"
"REG",2015,12,"2015-11-29","NYJMIA","NYJ","MIA",20,38,58,44,18,4.5,1,"outdoors","fieldturf"
"REG",2015,12,"2015-11-29","ATLMIN","ATL","MIN",20,10,30,45,-10,2,0,"dome","fieldturf"
"REG",2015,12,"2015-11-29","DENNE","DEN","NE",24,30,54,43,6,-2.5,0,"outdoors","grass"
"REG",2015,12,"2015-11-29","HOUNO","HOU","NO",6,24,30,50.5,18,3.5,0,"closed","fieldturf"
"REG",2015,12,"2015-11-29","WASNYG","WAS","NYG",14,20,34,47.5,6,-1,1,"outdoors","grass"
"REG",2015,12,"2015-11-29","TENLV","TEN","LV",24,21,45,45,-3,-1,0,"outdoors","grass"
"REG",2015,12,"2015-11-26","DETPHI","DET","PHI",14,45,59,46.5,31,3,0,"dome","fieldturf"
"REG",2015,12,"2015-11-29","SEAPIT","SEA","PIT",30,39,69,46.5,9,3,0,"outdoors","fieldturf"
"REG",2015,12,"2015-11-29","JAXLAC","JAX","LAC",31,25,56,47,-6,5,0,"outdoors","grass"
"REG",2015,12,"2015-11-29","CINLA","CIN","LA",7,31,38,42,24,10.5,0,"outdoors","fieldturf"
"REG",2015,12,"2015-11-29","INDTB","IND","TB",12,25,37,46.5,13,3,0,"closed","fieldturf"
"REG",2015,13,"2015-12-06","LAARI","LA","ARI",27,3,30,43,-24,-3.5,1,"dome","astroplay"
"REG",2015,13,"2015-12-06","TBATL","TB","ATL",19,23,42,46.5,4,1,1,"outdoors","grass"
"REG",2015,13,"2015-12-06","MIABAL","MIA","BAL",13,15,28,43,2,3.5,0,"outdoors","grass"
"REG",2015,13,"2015-12-06","NOCAR","NO","CAR",41,38,79,50.5,-3,-5.5,1,"dome","sportturf"
"REG",2015,13,"2015-12-06","CLECIN","CLE","CIN",37,3,40,44,-34,-7.5,1,"outdoors","grass"
"REG",2015,13,"2015-12-07","WASDAL","WAS","DAL",19,16,35,43,-3,2,1,"outdoors","grass"
"REG",2015,13,"2015-12-06","LACDEN","LAC","DEN",17,3,20,45,-14,-6,1,"outdoors","grass"
"REG",2015,13,"2015-12-03","DETGB","DET","GB",27,23,50,46,-4,-2.5,1,"dome","fieldturf"
"REG",2015,13,"2015-12-06","BUFHOU","BUF","HOU",21,30,51,42,9,3,0,"outdoors","a_turf"
"REG",2015,13,"2015-12-06","PITIND","PIT","IND",10,45,55,50.5,35,10,0,"outdoors","grass"
"REG",2015,13,"2015-12-06","TENJAX","TEN","JAX",39,42,81,43.5,3,3,1,"outdoors","grass"
"REG",2015,13,"2015-12-06","LVKC","LV","KC",34,20,54,45.5,-14,-3,1,"outdoors","grass"
"REG",2015,13,"2015-12-06","NYGNYJ","NYG","NYJ",23,20,43,45.5,-3,-2,0,"outdoors","fieldturf"
"REG",2015,13,"2015-12-06","NEPHI","NE","PHI",35,28,63,49.5,-7,9.5,0,"outdoors","fieldturf"
"REG",2015,13,"2015-12-06","MINSEA","MIN","SEA",38,7,45,43,-31,-2.5,0,"outdoors","fieldturf"
"REG",2015,13,"2015-12-06","CHISF","CHI","SF",26,20,46,43,-6,6,0,"outdoors","grass"
"REG",2015,14,"2015-12-13","CARATL","CAR","ATL",0,38,38,45.5,38,8.5,1,"outdoors","grass"
"REG",2015,14,"2015-12-13","PHIBUF","PHI","BUF",20,23,43,48,3,1,0,"outdoors","grass"
"REG",2015,14,"2015-12-13","GBDAL","GB","DAL",7,28,35,43,21,6,0,"outdoors","grass"
"REG",2015,14,"2015-12-13","LADET","LA","DET",14,21,35,41.5,7,-3,0,"dome","astroplay"
"REG",2015,14,"2015-12-13","JAXIND","JAX","IND",16,51,67,45.5,35,1,1,"outdoors","grass"
"REG",2015,14,"2015-12-10","ARIMIN","ARI","MIN",20,23,43,46.5,3,10,0,"open","grass"
"REG",2015,14,"2015-12-13","HOUNE","HOU","NE",27,6,33,46,-21,-4,0,"closed","fieldturf"
"REG",2015,14,"2015-12-13","TBNO","TB","NO",24,17,41,52,-7,6,1,"outdoors","grass"
"REG",2015,14,"2015-12-14","MIANYG","MIA","NYG",31,24,55,47.5,-7,-2.5,0,"outdoors","grass"
"REG",2015,14,"2015-12-13","DENLV","DEN","LV",15,12,27,43,-3,6,1,"outdoors","grass"
"REG",2015,14,"2015-12-13","CINPIT","CIN","PIT",33,20,53,49,-13,1,1,"outdoors","fieldturf"
"REG",2015,14,"2015-12-13","KCLAC","KC","LAC",3,10,13,42,7,11.5,1,"outdoors","grass"
"REG",2015,14,"2015-12-13","BALSEA","BAL","SEA",35,6,41,42,-29,-10.5,0,"outdoors","sportturf"
"REG",2015,14,"2015-12-13","CLESF","CLE","SF",10,24,34,43,14,2.5,0,"outdoors","grass"
"REG",2015,14,"2015-12-13","NYJTEN","NYJ","TEN",8,30,38,43,22,8,0,"outdoors","fieldturf"
"REG",2015,14,"2015-12-13","CHIWAS","CHI","WAS",24,21,45,42.5,-3,4,0,"outdoors","grass"
"REG",2015,15,"2015-12-20","PHIARI","PHI","ARI",40,17,57,50.5,-23,-3.5,0,"outdoors","grass"
"REG",2015,15,"2015-12-20","JAXATL","JAX","ATL",23,17,40,47.5,-6,2,0,"outdoors","grass"
"REG",2015,15,"2015-12-20","WASBUF","WAS","BUF",25,35,60,46,10,-2.5,0,"outdoors","grass"
"REG",2015,15,"2015-12-20","NYGCAR","NYG","CAR",38,35,73,46.5,-3,-4.5,0,"outdoors","fieldturf"
"REG",2015,15,"2015-12-20","MINCHI","MIN","CHI",17,38,55,43.5,21,4,1,"outdoors","fieldturf"
"REG",2015,15,"2015-12-20","SFCIN","SF","CIN",24,14,38,41,-10,-7,0,"outdoors","grass"
"REG",2015,15,"2015-12-20","SEACLE","SEA","CLE",13,30,43,45,17,14.5,0,"outdoors","fieldturf"
"REG",2015,15,"2015-12-20","PITDEN","PIT","DEN",27,34,61,45.5,7,7.5,0,"outdoors","grass"
"REG",2015,15,"2015-12-21","NODET","NO","DET",35,27,62,52,-8,2.5,0,"dome","sportturf"
"REG",2015,15,"2015-12-20","LVGB","LV","GB",30,20,50,47,-10,-4,0,"outdoors","grass"
"REG",2015,15,"2015-12-20","INDHOU","IND","HOU",16,10,26,42,-6,2.5,1,"closed","fieldturf"
"REG",2015,15,"2015-12-20","BALKC","BAL","KC",34,14,48,41,-20,-6.5,0,"outdoors","sportturf"
"REG",2015,15,"2015-12-20","LACMIA","LAC","MIA",14,30,44,46.5,16,1,0,"outdoors","grass"
"REG",2015,15,"2015-12-19","DALNYJ","DAL","NYJ",19,16,35,41,-3,-3,0,"closed","matrixturf"
"REG",2015,15,"2015-12-17","LATB","LA","TB",23,31,54,41,8,1,0,"dome","astroplay"
"REG",2015,15,"2015-12-20","NETEN","NE","TEN",16,33,49,48,17,14.5,0,"outdoors","fieldturf"
"REG",2015,16,"2015-12-27","ATLCAR","ATL","CAR",13,20,33,45.5,7,-7,1,"dome","fieldturf"
"REG",2015,16,"2015-12-27","TBCHI","TB","CHI",26,21,47,44,-5,3,0,"outdoors","grass"
"REG",2015,16,"2015-12-28","DENCIN","DEN","CIN",17,20,37,39,3,3.5,0,"outdoors","grass"
"REG",2015,16,"2015-12-27","KCCLE","KC","CLE",13,17,30,42.5,4,11.5,0,"outdoors","grass"
"REG",2015,16,"2015-12-27","BUFDAL","BUF","DAL",6,16,22,42,10,6.5,0,"outdoors","a_turf"
"REG",2015,16,"2015-12-27","ARIGB","ARI","GB",8,38,46,50,30,6,0,"closed","grass"
"REG",2015,16,"2015-12-27","TENHOU","TEN","HOU",34,6,40,39,-28,-3.5,1,"outdoors","grass"
"REG",2015,16,"2015-12-27","MIAIND","MIA","IND",18,12,30,44,-6,2.5,0,"outdoors","grass"
"REG",2015,16,"2015-12-27","NOJAX","NO","JAX",27,38,65,52.5,11,2.5,0,"dome","sportturf"
"REG",2015,16,"2015-12-27","NYJNE","NYJ","NE",20,26,46,45.5,6,-2.5,1,"outdoors","fieldturf"
"REG",2015,16,"2015-12-27","MINNYG","MIN","NYG",17,49,66,44.5,32,7,0,"outdoors","fieldturf"
"REG",2015,16,"2015-12-27","BALPIT","BAL","PIT",17,20,37,47.5,3,-11,1,"outdoors","sportturf"
"REG",2015,16,"2015-12-24","LVLAC","LV","LAC",20,23,43,45,3,4,1,"outdoors","grass"
"REG",2015,16,"2015-12-27","DETSF","DET","SF",17,32,49,42.5,15,8.5,0,"dome","fieldturf"
"REG",2015,16,"2015-12-27","SEALA","SEA","LA",23,17,40,42,-6,11,1,"outdoors","fieldturf"
"REG",2015,16,"2015-12-26","PHIWAS","PHI","WAS",38,24,62,48,-14,3.5,1,"outdoors","grass"
"REG",2015,17,"2016-01-03","CINBAL","CIN","BAL",16,24,40,40.5,8,10,1,"outdoors","fieldturf"
